eval,specialty,score
hits@10,Allopathic & Osteopathic Physicians/Internal Medicine,0.4,NDCG@10,Allopathic & Osteopathic Physicians/Internal Medicine,0.4501200802426893,Correlation,Allopathic & Osteopathic Physicians/Internal Medicine,0.08191543169843948
hits@10,Allopathic & Osteopathic Physicians/Family Medicine,0.7,NDCG@10,Allopathic & Osteopathic Physicians/Family Medicine,0.7513319238218642,Correlation,Allopathic & Osteopathic Physicians/Family Medicine,0.005856414127671765
hits@10,"Physician Assistants & Advanced Practice Nursing Providers/Nurse Practitioner, Family",0.9,NDCG@10,"Physician Assistants & Advanced Practice Nursing Providers/Nurse Practitioner, Family",0.9069338592889177,Correlation,"Physician Assistants & Advanced Practice Nursing Providers/Nurse Practitioner, Family",-0.02649535345953353
hits@10,Physician Assistants & Advanced Practice Nursing Providers/Physician Assistant,0.2,NDCG@10,Physician Assistants & Advanced Practice Nursing Providers/Physician Assistant,0.24651102637614447,Correlation,Physician Assistants & Advanced Practice Nursing Providers/Physician Assistant,0.019556718890666833
hits@10,Allopathic & Osteopathic Physicians/Emergency Medicine,0.3,NDCG@10,Allopathic & Osteopathic Physicians/Emergency Medicine,0.38853736180669807,Correlation,Allopathic & Osteopathic Physicians/Emergency Medicine,0.034218245270575605
hits@10,"Physician Assistants & Advanced Practice Nursing Providers/Nurse Anesthetist, Certified Registered",0.4,NDCG@10,"Physician Assistants & Advanced Practice Nursing Providers/Nurse Anesthetist, Certified Registered",0.38309615499239275,Correlation,"Physician Assistants & Advanced Practice Nursing Providers/Nurse Anesthetist, Certified Registered",0.05369232532370885
hits@10,"Allopathic & Osteopathic Physicians/Anesthesiology, Addiction Medicine",0.5,NDCG@10,"Allopathic & Osteopathic Physicians/Anesthesiology, Addiction Medicine",0.6023698073399095,Correlation,"Allopathic & Osteopathic Physicians/Anesthesiology, Addiction Medicine",-0.08139103003264668
hits@10,"Allopathic & Osteopathic Physicians/Radiology, Diagnostic Radiology",1.0,NDCG@10,"Allopathic & Osteopathic Physicians/Radiology, Diagnostic Radiology",1.0,Correlation,"Allopathic & Osteopathic Physicians/Radiology, Diagnostic Radiology",0.07189130298693469
hits@10,390200000X,0.2,NDCG@10,390200000X,0.2055234682408988,Correlation,390200000X,-0.010705087377406445
hits@10,Physician Assistants & Advanced Practice Nursing Providers/Nurse Practitioner,0.5,NDCG@10,Physician Assistants & Advanced Practice Nursing Providers/Nurse Practitioner,0.47665297720609356,Correlation,Physician Assistants & Advanced Practice Nursing Providers/Nurse Practitioner,0.09184874499512695
hits@10,mean,0.51,NDCG@10,mean,0.5411076659315608
